 ['8.99', '-1.99', '-1.01', '-0.01', '-0.01', '0.01'],
 ['9.01', '-2.01', '0.01', '0.01', '0.01', '-0.01'],
 ['8.99', '-0.99', '0.99', '-0.01', '-0.01', '0.01'],
 ['8.0', '0.01', '2.0', '0.0', '0.0', '0.01'],
 ['8.99', '-1.0', '2.99', '-0.01', '-0.01', '0.0'],
 ['9.0', '-2.0', '3.0', '0.0', '0.0', '0.0'],
 ['11.01', '-2.99', '4.01', '0.01', '0.01', '0.01'],
 ['11.0', '-4.98', '4.0', '0.0', '0.0', '0.02'],
 ['10.01', '-3.01', '3.01', '-0.99', '0.01', '-0.01'],
 ['10.99', '-2.01', '1.99', '-1.01', '-0.01', '-0.01'],
 ['9.99', '-3.01', '-0.01', '-1.01', '-0.01', '-0.01'],
 ['12.0', '-3.99', '0.0', '-1.0', '0.0', '0.01'],
 ['11.01', '-9.0', '2.01', '-0.99', '0.01', '0.0'],
 ['8.0', '-5.98', '1.0', '0.0', '0.0', '0.02'],
 ['9.0', '-4.99', '1.0', '0.0', '0.0', '0.01'],
 ['4.99', '-7.0', '-0.01', '-0.01', '-0.01', '0.0'],
 ['4.0', '-5.98', '0.0', '1.0', '0.0', '0.02'],
 ['7.01', '-0.01', '-0.99', '1.01', '0.01', '-0.01'],
 ['5.99', '-0.02', '-0.01', '-0.01', '-0.01', '-0.02'],
 ['7.0', '-4.0', '0.0', '0.0', '0.0', '0.0'],
 ['7.0', '-4.02', '0.0', '0.0', '0.0', '-0.02'],
 ['6.99', '-6.0', '-0.01', '-0.01', '-0.01', '0.0'],
 ['8.0', '-5.0', '0.0', '0.0', '0.0', '0.0'],
 ['7.99', '-6.02', '-0.01', '-0.01', '-0.01', '-0.02'],
 ['7.99', '-6.01', '0.99', '0.99', '-0.01', '-0.01'],
 ['8.01', '-3.99', '0.01', '1.01', '0.01', '0.01'],
 ['9.0', '-2.99', '0.0', '1.0', '0.0', '0.01'],
 ['9.01', '-3.01', '0.01', '1.01', '0.01', '-0.01'],
 ['9.0', '-2.0', '1.0', '0.0', '0.0', '0.0'],
 ['8.01', '-3.0', '0.01', '0.01', '0.01', '0.0'],
 ['7.99', '-3.0', '-0.01', '-0.01', '-0.01', '0.0'],
 ['8.0', '-2.02', '0.0', '0.0', '0.0', '-0.02'],
 ['8.0', '-3.0', '0.0', '0.0', '0.0', '0.0'],
 ['7.99', '-4.0', '-0.01', '-0.01', '-0.01', '0.0'],
 ['7.99', '-5.02', '-0.01', '-0.01', '-0.01', '-0.02'],
 ['7.99', '-6.0', '0.99', '-0.01', '-0.01', '0.0'],
 ['8.0', '-5.01', '0.0', '0.0', '0.0', '-0.01'],
 ['8.0', '-3.98', '0.0', '0.0', '0.0', '0.02'],
 ['8.99', '-2.99', '-0.01', '-0.01', '-0.01', '0.01'],
 ['9.0', '-4.0', '0.0', '0.0', '0.0', '0.0'],
 ['8.99', '-2.99', '-0.01', '-0.01', '-0.01', '0.01'],
 ['10.0', '-3.0', '0.0', '0.0', '0.0', '0.0'],
 ['9.01', '-3.01', '0.01', '0.01', '0.01', '-0.01'],
 ['9.0', '-4.02', '0.0', '0.0', '0.0', '-0.02'],
 ['9.01', '-4.98', '0.01', '0.01', '0.01', '0.02'],
 ['10.0', '-3.99', '0.0', '0.0', '0.0', '0.01'],
 ['8.99', '-3.99', '-0.01', '-0.01', '-0.01', '0.01'],
 ['10.0', '-3.98', '0.0', '0.0', '0.0', '0.02'],
 ['10.01', '-4.0', '1.01', '0.01', '0.01', '0.0'],
 ['9.99', '-4.99', '-0.01', '-0.01', '-0.01', '0.01'],
 ['10.0', '-3.98', '0.0', '0.0', '0.0', '0.02'],
 ['10.0', '-3.0', '0.0', '0.0', '0.0', '0.0'],
 ['10.0', '-3.02', '0.0', '0.0', '0.0', '-0.02'],
 ['7.99', '-4.02', '-0.01', '-0.01', '-0.01', '-0.02'],
 ['8.0', '-4.02', '-2.0', '0.0', '0.0', '-0.02'],
 ['8.01', '-3.99', '-2.99', '0.01', '0.01', '0.01'],
 ['6.99', '-1.99', '-2.01', '0.99', '-0.01', '0.01'],
 ['3.99', '-1.0', '-2.01', '0.99', '0.99', '0.0'],
 ['5.99', '-1.01', '-1.01', '1.99', '0.99', '-0.01'],
 ['9.99', '-2.02', '3.99', '1.99', '1.99', '-0.02'],
 ['-5.01', '0.02', '0.99', '1.99', '0.99', '0.02'],
 ['5.0', '9.01', '2.0', '4.0', '0.0', '0.01'],
 ['19.0', '5.01', '-19.0', '1.0', '0.0', '0.01'],
 ['19.0', '-19.0', '-3.0', '0.0', '2.0', '1.0'],
 ['-19.0', '-3.02', '6.0', '4.0', '1.0', '-0.02'],
 ['-0.99', '15.01', '18.01', '1.01', '2.01', '0.01'],
 ['7.0', '9.99', '14.0', '0.0', '1.0', '-0.01'],
 ['11.01', '-2.98', '11.01', '-0.99', '0.01', '0.02'],
 ['4.99', '-4.98', '11.99', '-0.01', '-0.01', '0.02'],
 ['9.01', '2.02', '10.01', '1.01', '0.01', '0.02'],
 ['9.0', '3.99', '9.0', '0.0', '0.0', '-0.01'],
 ['9.99', '0.01', '5.99', '-0.01', '-0.01', '0.01'],
 ['13.99', '-0.98', '3.99', '-0.01', '-0.01', '0.02'],
 ['15.01', '-2.99', '4.01', '0.01', '0.01', '0.01'],
 ['13.99', '-3.99', '2.99', '-0.01', '-0.01', '0.01'],
 ['14.0', '-2.98', '2.0', '0.0', '0.0', '0.02'],
 ['13.0', '-1.99', '2.0', '0.0', '0.0', '0.01'],
 ['12.0', '-2.01', '2.0', '0.0', '0.0', '-0.01'],
 ['10.99', '0.02', '-0.01', '-0.01', '-0.01', '0.02'],
 ['8.99', '1.0', '-2.01', '-1.01', '-0.01', '0.0'],
